FBX045
AKR1B1
PFKFB2
CAPRIN2
ACBD3
PRR9
USP47
BGALT6
MKX
KIAA1324
FAM122B
MYC
VPS52
LRRCZ
ZSWIM6
MEIS2
ITGA1
REM2
DAG1
KCNK4
OCSTAMP
KAT2B
NMUR2
CXADR
C9orf85
CROT
ZNF319
RNF168
CACNB2
GRK5
SYNPQ
GABPA
M1B1
CALM2
GPATCH2
C5orf30
KLF6
VSTM4
MRPL30
PPP2R3A
CCNG1
DCTD
GOPC
ITGA1
PLXNA4
RPRD1B
ENTPD1
CXADR
A1G1
MPZ
GNPAT
VPS26A
SYNPO
GRK5
SLC15A2
C14orf105
BAIAP2
ZNF641
MAP9
LY6E
KCNK4
